#num nodes;num edge;num observation
6;5;320
#node_id::int;X::double;Yi_filename::double;Z::double;is_in_intersection::int
2661;1996.06866715267;20758.9369077051;0;1
2662;1932.49999998707;20859.6999984745;0;1
1000346;2003.20677483166;20776.338851136;0;0
1000359;2000.50300070975;20752.715874403;0;0
1001976;1941.99999998709;20871.7999984752;0;0
1001977;1940.29999998716;20866.8999984777;0;0
#edge_id::int;start_node::int;end_node::int;width::double
1010040;1000359;2661;9
1006076;1001977;2662;4
2506;2661;2662;4
1006485;2661;1000346;4
1006075;1001976;1001977;4
#obs_id::int;edge_id::int;X::double;Y::double;Z::double;confidence::double;weight::double
578;2506;1940.02724643276;20842.3188482121;0;1;0.50000
579;2506;1939.49848947375;20843.1676214903;0;1;1.00000
580;2506;1938.96973251472;20844.0163947684;0;1;1.00000
581;2506;1938.44097555571;20844.8651680451;0;1;1.00000
582;2506;1937.9122185967;20845.7139413252;0;1;1.00000
583;2506;1937.38346163769;20846.5627146031;0;1;1.00000
584;2506;1936.85470467867;20847.411487883;0;1;1.00000
585;2506;1936.32594771965;20848.2602611581;0;1;1.00000
586;2506;1935.79719076064;20849.1090344379;0;1;1.00000
587;2506;1935.26843380163;20849.9578077155;0;1;1.00000
588;2506;1934.7396768426;20850.8065809945;0;1;1.00000
589;2506;1934.21091988358;20851.6553542727;0;1;1.00000
590;2506;1933.68216292458;20852.5041275509;0;1;1.00000
591;2506;1933.15340596555;20853.352900829;0;1;1.00000
592;2506;1932.62464900666;20854.2016741071;0;1;1.00000
593;2506;1932.09589204778;20855.0504473871;0;1;1.00000
593;1006076;1932.09589204778;20855.0504473871;0;1;1.00000
594;2506;1931.56713508886;20855.8992206629;0;1;1.00000
594;1006076;1931.56713508886;20855.8992206629;0;1;1.00000
595;2506;1931.03837812998;20856.7479939421;0;1;1.00000
595;1006076;1931.03837812998;20856.7479939421;0;1;1.00000
596;2506;1930.50962117106;20857.5967672199;0;1;1.00000
596;1006076;1930.50962117106;20857.5967672199;0;1;1.00000
597;2506;1929.98086421217;20858.4455404989;0;1;1.00000
597;1006076;1929.98086421217;20858.4455404989;0;1;1.00000
598;2506;1929.45210725326;20859.2943137772;0;1;1.00000
598;1006076;1929.45210725326;20859.2943137772;0;1;1.00000
599;2506;1928.92335029437;20860.1430870549;0;1;1.00000
599;1006076;1928.92335029437;20860.1430870549;0;1;1.00000
600;2506;1928.39459333549;20860.9918603344;0;1;1.00000
600;1006076;1928.39459333549;20860.9918603344;0;1;1.00000
1613;1010040;1999.35398481708;20748.0862256038;0;1;1.00000
1614;1010040;1998.81049525685;20748.9256415314;0;1;1.00000
1615;1010040;1998.26700569657;20749.7650574564;0;1;1.00000
1616;1010040;1997.72351613633;20750.6044733846;0;1;1.00000
1617;1010040;1997.18002657618;20751.4438893096;0;1;1.00000
1618;1010040;1996.63653701606;20752.2833052364;0;1;0.95187
1619;1010040;1996.14536046112;20753.0419240832;0;1;0.95187
1620;1010040;1995.65308037498;20753.9123609374;0;1;1.00000
1621;2506;1995.1608002888;20754.7827977893;0;1;0.99458
1621;1006485;1995.1608002888;20754.7827977893;0;1;0.99458
1621;1010040;1995.1608002888;20754.7827977893;0;1;0.99458
1622;2506;1994.67385770303;20755.6437970153;0;1;0.99458
1622;1006485;1994.67385770303;20755.6437970153;0;1;0.99458
1622;1010040;1994.67385770303;20755.6437970153;0;1;0.99458
1623;2506;1994.10151289908;20756.4638100789;0;1;1.00000
1623;1006485;1994.10151289908;20756.4638100789;0;1;1.00000
1623;1010040;1994.10151289908;20756.4638100789;0;1;1.00000
1624;2506;1993.52916809511;20757.2838231436;0;1;1.00000
1624;1006485;1993.52916809511;20757.2838231436;0;1;1.00000
1624;1010040;1993.52916809511;20757.2838231436;0;1;1.00000
1625;2506;1992.95682329127;20758.1038362074;0;1;1.00000
1625;1006485;1992.95682329127;20758.1038362074;0;1;1.00000
1625;1010040;1992.95682329127;20758.1038362074;0;1;1.00000
1626;2506;1992.38447848758;20758.923849271;0;1;0.65179
1626;1006485;1992.38447848758;20758.923849271;0;1;0.65179
1626;1010040;1992.38447848758;20758.923849271;0;1;0.65179
1627;2506;1992.21072857027;20759.1727852294;0;1;0.65179
1627;1006485;1992.21072857027;20759.1727852294;0;1;0.65179
1627;1010040;1992.21072857027;20759.1727852294;0;1;0.65179
1628;2506;1991.70041663038;20760.0327746025;0;1;1.00000
1628;1006485;1991.70041663038;20760.0327746025;0;1;1.00000
1628;1010040;1991.70041663038;20760.0327746025;0;1;1.00000
1629;2506;1991.19010469063;20760.8927639766;0;1;1.00000
1630;2506;1990.67979275089;20761.7527533524;0;1;1.00000
1631;2506;1990.16948081102;20762.6127427257;0;1;1.00000
1632;2506;1989.65916887129;20763.4727321013;0;1;1.00000
1633;2506;1989.14885693141;20764.3327214759;0;1;0.62741
1634;2506;1989.0188231379;20764.5518574045;0;1;0.62741
1635;2506;1988.48359553193;20765.3965652885;0;1;1.00000
1636;2506;1987.94836792597;20766.2412731716;0;1;1.00000
1637;2506;1987.41314032002;20767.0859810553;0;1;1.00000
1638;2506;1986.87791271406;20767.9306889394;0;1;1.00000
1639;2506;1986.34268510821;20768.7753968227;0;1;1.00000
1640;2506;1985.80745750239;20769.6201047078;0;1;1.00000
1641;2506;1985.27222989642;20770.4648125921;0;1;1.00000
1642;2506;1984.73700229058;20771.3095204769;0;1;1.00000
1643;2506;1984.20177468464;20772.1542283608;0;1;0.88018
1644;2506;1983.79481045263;20772.7965081902;0;1;0.38018
1781;1006076;1938.88115958338;20861.8066078038;0;1;0.14562
1782;1006076;1938.61221591583;20861.9183615547;0;1;0.41389
1783;1006076;1938.35319346878;20861.4484904163;0;1;0.76827
1784;1006076;1938.14439839058;20860.4705310025;0;1;0.83364
1785;2506;1938.00507418339;20859.8179609279;0;1;0.79573
1785;1006076;1938.00507418339;20859.8179609279;0;1;0.79573
1786;2506;1938.02774977418;20858.8940565359;0;1;0.58059
1786;1006076;1938.02774977418;20858.8940565359;0;1;0.58059
1787;2506;1938.17905046292;20858.7116270494;0;1;0.37901
1787;1006076;1938.17905046292;20858.7116270494;0;1;0.37901
1788;2506;1938.08203880956;20858.1997232545;0;1;0.41845
1788;1006076;1938.08203880956;20858.1997232545;0;1;0.41845
1789;2506;1938.22712927444;20857.919131055;0;1;0.15794
8347;2506;1991.4858905521;20775.2387226151;0;1;0.67765
8348;2506;1990.52227024248;20775.5059975671;0;1;0.52960
8349;2506;1990.46521698048;20775.5218221668;0;1;0.02960
12372;1006485;2006.08020018265;20770.6725544675;0;1;0.50000
13247;2506;1946.77630918836;20844.3828763424;0;1;0.50000
13248;2506;1947.34546330144;20843.5606454778;0;1;0.65777
13249;2506;1947.52505563876;20843.3011966587;0;1;0.15777
14263;2506;1940.12946834383;20842.2189784229;0;1;0.50000
14264;2506;1940.66151302869;20841.3722621457;0;1;1.00000
14265;2506;1941.19355771344;20840.5255458706;0;1;1.00000
14266;2506;1941.7256023982;20839.6788295933;0;1;1.00000
14267;2506;1942.2576470829;20838.8321133165;0;1;1.00000
14268;2506;1942.78969176769;20837.985397041;0;1;1.00000
14269;2506;1943.32173645242;20837.1386807646;0;1;1.00000
14270;2506;1943.85378113718;20836.2919644889;0;1;1.00000
14271;2506;1944.38582582192;20835.4452482115;0;1;1.00000
14272;2506;1944.91787050668;20834.5985319349;0;1;1.00000
14273;2506;1945.44991519143;20833.7518156594;0;1;1.00000
14274;2506;1945.98195987616;20832.9050993824;0;1;1.00000
14275;2506;1946.51400456091;20832.0583831052;0;1;1.00000
14276;2506;1947.04604924567;20831.2116668301;0;1;1.00000
14277;2506;1947.5780939304;20830.3649505541;0;1;1.00000
14278;2506;1948.11013861517;20829.518234278;0;1;1.00000
14279;2506;1948.64218329991;20828.6715180003;0;1;1.00000
14280;2506;1949.17422798467;20827.8248017253;0;1;1.00000
14281;2506;1949.7062726694;20826.9780854481;0;1;1.00000
14282;2506;1950.23831735415;20826.1313691708;0;1;1.00000
14283;2506;1950.77036203891;20825.2846528961;0;1;1.00000
14284;2506;1951.30240672364;20824.4379366191;0;1;1.00000
14285;2506;1951.83445140838;20823.5912203413;0;1;1.00000
14286;2506;1952.36649609315;20822.744504067;0;1;1.00000
14287;2506;1952.89854077788;20821.8977877897;0;1;1.00000
14288;2506;1953.43058546262;20821.0510715129;0;1;1.00000
14289;2506;1953.96263014734;20820.2043552353;0;1;1.00000
14290;2506;1954.49467483214;20819.3576389597;0;1;1.00000
14291;2506;1955.02671951686;20818.5109226833;0;1;1.00000
14292;2506;1955.55876420161;20817.6642064074;0;1;1.00000
14293;2506;1956.09080888634;20816.8174901321;0;1;1.00000
14294;2506;1956.62285357112;20815.9707738552;0;1;1.00000
14295;2506;1957.15489825585;20815.1240575769;0;1;1.00000
14296;2506;1957.6869429406;20814.2773412991;0;1;1.00000
14297;2506;1958.21898762536;20813.4306250253;0;1;1.00000
14298;2506;1958.75103231009;20812.5839087466;0;1;1.00000
14299;2506;1959.28307699486;20811.7371924712;0;1;1.00000
14300;2506;1959.81512167959;20810.8904761936;0;1;1.00000
14301;2506;1960.34716636433;20810.0437599171;0;1;1.00000
14302;2506;1960.87921104909;20809.1970436393;0;1;1.00000
14303;2506;1961.41125573384;20808.3503273633;0;1;1.00000
14304;2506;1961.94330041859;20807.5036110852;0;1;1.00000
