1065700;2661;1004116;4
1056349;2661;1004020;4
1056350;1004020;1004021;4
1056351;1004021;1004022;4
1056352;1004022;1004023;4
1056353;1004023;1004024;4
1056354;1004024;1004025;4
1056355;1004025;1004026;4
1056356;1004026;1004027;4
1056357;1004027;1004028;4
1056358;1004028;1004029;4
1056359;1004029;1004030;4
1056360;1004030;1004031;4
1056361;1004031;1004032;4
1056362;1004032;1004033;4
1056363;1004033;1004034;4
1056364;1004034;1004035;4
1056365;1004035;1004036;4
1056366;1004036;1004037;4
1056367;1004037;1004038;4
1065701;1004116;1004117;4
1065702;1004117;1004118;4
1065703;1004118;1004119;4
1065704;1004119;1004120;4
1065705;1004120;1004121;4
1065706;1004121;1004122;4
1065707;1004122;1004123;4
1065708;1004123;1004124;4
1065709;1004124;1004125;4
1065710;1004125;1004126;4
1065711;1004126;1004127;4
1065712;1004127;1004128;4
1100521;1004208;1004209;9
1100522;1004209;1004210;9
1100523;1004210;1004211;9
1100524;1004211;1004212;9
1100525;1004212;2661;9
1058611;2662;1000171;4
1058612;1000171;1000172;4
1058613;1000172;1000173;4
1058614;1000173;1000174;4
1058615;1000174;1000175;4
1056368;1004038;1004039;4
1056369;1004039;1004040;4
1056370;1004040;1004041;4
1056371;1004041;1004042;4
1056372;1004042;1004043;4
1056373;1004043;1004044;4
1056374;1004044;1004045;4
1056375;1004045;1004046;4
1056376;1004046;1004047;4
1056377;1004047;1004048;4
1056378;1004048;2662;4
1058844;1017193;1017194;4
1058845;1017194;1017195;4
1058846;1017195;1017196;4
1058847;1017196;1017197;4
1058848;1017197;1017198;4
1058849;1017198;1017199;4
1058850;1017199;1017200;4
1058851;1017200;1017201;4
1058852;1017201;2662;4
